Валютная пара;Текущая цена;Долгосрочный тренд;Стадия долгосрочного тренда;Вероятность продолжения долгосрочного тренда;Среднесрочный тренд;Стадия среднесрочного тренда;Вероятность продолжения среднесрочного тренда;Краткосрочный тренд;Стадия Краткосрочного тренда
AUDCAD;0,8086;медвежий;конец;5,896134323;медвежий;конец;29,79549832;медвежий;конец
AUDDKK;3,7872;медвежий;конец;49,6567615;медвежий;конец;60,2205844;медвежий;середина
AUDNZD;1,2534;бычий;конец;78,21;медвежий;конец;23,97059397;медвежий;начало
CHFNOK;5,9822;медвежий;конец;0;бычий;середина;79,89;бычий;конец
EURUSD;1,2615;медвежий;конец;0;медвежий;середина;52,28905685;медвежий;конец
USDCHF;1,1692;бычий;середина;85,88;бычий;конец;85,88;бычий;конец
GBPUSD;1,4269;медвежий;конец;0;медвежий;конец;11,14057244;медвежий;середина
USDJPY;92,59;бычий;середина;0;бычий;конец;0;бычий;конец
AUDUSD;0,641;медвежий;конец;0;медвежий;конец;19,75071257;медвежий;середина
USDCAD;1,2621;бычий;конец;90,87;бычий;конец;94,78;бычий;середина
EURCHF;1,4749;медвежий;конец;0;медвежий;конец;32,46089742;медвежий;конец
EURGBP;0,8846;медвежий;конец;0;бычий;конец;95,66;бычий;середина
EURJPY;116,81;медвежий;конец;0;медвежий;конец;60,23687253;медвежий;середина
EURCAD;1,5917;медвежий;середина;12,00513333;медвежий;начало;57,46015553;медвежий;конец
EURAUD;1,9674;бычий;конец;82,19;бычий;конец;93,02;бычий;середина
GBPCHF;1,6677;бычий;конец;76,32;медвежий;конец;15,05140385;медвежий;середина
GBPJPY;132,07;бычий;середина;0;медвежий;конец;47,39027861;медвежий;середина
CHFJPY;79,21;медвежий;конец;0;медвежий;конец;73,13197745;медвежий;середина
AUDCHF;0,7491;медвежий;конец;0;медвежий;конец;54,33367022;медвежий;середина
AUDEUR;0,5079;медвежий;конец;34,58879773;медвежий;конец;53,03045128;медвежий;середина
AUDJPY;59,33;медвежий;конец;0;медвежий;конец;51,61598401;медвежий;середина
AUDNOK;4,4849;медвежий;конец;0;медвежий;середина;58,00331686;медвежий;конец
AUDSEK;5,6254;бычий;конец;0;бычий;конец;66,55;бычий;конец
AUDSGD;0,9797;медвежий;конец;3,819452616;медвежий;конец;38,49269833;медвежий;середина
CADCHF;0,9254;бычий;середина;88,7;медвежий;конец;49,74810345;бычий;конец
CADJPY;73,34;медвежий;конец;0;медвежий;конец;63,43152433;бычий;конец
CHFSGD;1,3074;медвежий;середина;96,70437581;бычий;середина;97,14;медвежий;середина
EURHKD;9,7869;медвежий;конец;10,39088881;медвежий;конец;74,0365894;медвежий;конец
EURNOK;8,8264;медвежий;середина;0;бычий;середина;79,74;бычий;конец
EURNZD;2,4625;бычий;конец;38,19;бычий;конец;93;медвежий;середина
EURSEK;11,0702;бычий;конец;0;бычий;конец;78,865;бычий;конец
EURSGD;1,9277;медвежий;конец;0;медвежий;середина;75,56773688;медвежий;конец
GBPAUD;2,2259;бычий;конец;74,06;медвежий;конец;35,34644084;бычий;конец
GBPCAD;1,8009;бычий;середина;83,13;медвежий;середина;36,52064625;медвежий;конец
GBPDKK;8,459;бычий;конец;0;медвежий;конец;42,6435148;медвежий;начало
GBPNOK;9,9847;медвежий;конец;0;медвежий;конец;46,03662642;медвежий;середина
GBPNZD;2,7898;бычий;конец;58,24;медвежий;конец;56,92485958;медвежий;начало
GBPSEK;12,5207;бычий;конец;0;бычий;конец;0;бычий;конец
GBPSGD;2,1801;бычий;конец;80,18;медвежий;конец;28,25411007;медвежий;середина
NOKJPY;13,23;бычий;конец;0;медвежий;конец;65,84427223;медвежий;начало
NZDCAD;0,6466;медвежий;конец;0;медвежий;середина;71,70252572;медвежий;конец
NZDCHF;0,5993;медвежий;конец;0;медвежий;конец;59,95653355;медвежий;середина
NZDGBP;0,3586;медвежий;конец;0;бычий;конец;98,01;бычий;середина
NZDJPY;47,34;медвежий;конец;0;медвежий;конец;80,8389206;медвежий;середина
NZDSGD;0,7832;медвежий;конец;0;медвежий;конец;62,07470414;медвежий;середина
NZDUSD;0,5119;медвежий;конец;0;медвежий;конец;27,45445075;медвежий;середина
SEKJPY;10,557;медвежий;конец;0;медвежий;середина;67,70005255;медвежий;начало
SGDJPY;60,57;медвежий;конец;0;медвежий;конец;69,18103448;бычий;конец
USDDKK;5,9082;бычий;конец;12,78;бычий;середина;83,62;бычий;конец
USDHKD;7,7555;бычий;конец;98,72;бычий;середина;99,67;бычий;конец
USDNOK;6,997;медвежий;конец;21,73990098;бычий;конец;69,01;бычий;середина
USDRUB;36,3452;бычий;конец;0;медвежий;начало;0;медвежий;конец
USDSEK;8,7758;бычий;конец;0;бычий;конец;40,15;бычий;начало
USDSGD;1,5282;бычий;конец;88,38;бычий;конец;97,17;бычий;середина
USDSKK;21,528;медвежий;конец;0;медвежий;конец;0;бычий;конец
USDZAR;10,1786;бычий;конец;0;бычий;конец;40,81;бычий;конец
